turfID;alutray_ID;alutray_weight;wet_mass_g;dry_mass1;dry_mass2;dry_mass3;dry_mass4;porcelain_ID;porcelain_weight;burn_mass1;burn_mass2;total_cf_mass
;VIK  W B7 M;3,7959;NA;18,1875;7,1;7,0821;12,0901;26;8,93;11,6406;11,6028;9,3701
;VIK  W B7 I;3,8376;NA;28,7254;14,9264;14,8416;12,9457;27;8,7875;12,1953;12,1466;5,3688
;VIK  W B7 C;3,8149;NA;18,947;8,9203;8,8757;12,034;29;8,9626;12,2823;11,2479;6,4857
;VIK  W B7 N;3,824;NA;15,8674;9,1949;9,1571;12,0227;30;9,2073;11,3721;11,3429;3,0375
;VIK  W B8 M;3,8212;NA;17,4766;9,4686;9,4307;12,7493;31;9,1537;12,1986;12,1509;5,6933
;VIK  W B8 I;3,8155;NA;16,658;9,3848;9,3474;12,6885;32;9,2558;12,1;12,0523;4,9933
;VIK  W B8 C;3,8178;NA;14,6052;9,3247;9,2802;12,1398;33;8,9621;11,4566;11,4146;3,7841
;VIK  W B8 N;3,8042;NA;26,8131;10,9451;10,9044;12,5659;34;9,0814;12,0462;12,0017;11,9126
;VIK  W B9 M;3,8114;NA;22,0013;12,0149;11,9547;13,1157;35;9,479;12,4976;12,4444;4,2369
;VIK  W B9 I;3,7954;NA;12,592;7,8677;7,837;11,4563;36;8,7319;10,7313;10,6934;3,6804
;VIK  W B9 C;3,8069;NA;12,6208;7,5597;7,5326;11,9278;37;9,084;11,267;11,2266;3,7252
;VIK  W B9 N;3,7982;NA;33,3619;11,8854;11,8358;13,2729;39;8,8157;12,6592;12,5935;17,2368
;VIK  W B10 M;3,7733;NA;18,5864;9,4862;9,4408;12,3238;40;9,1845;11,7056;11,6576;4,9321
;VIK  W B10 I;3,7993;NA;21,8346;10,0798;10,0266;12,2966;41;9,1416;11,7069;11,6522;5,117
;VIK  W B10 C;3,837;NA;16,151;8,8801;8,842;12,0906;42;9,2163;11,4245;11,3779;3,7959
;VIK  W B10 N;3,8001;NA;27,8858;14,5624;14,481;12,9165;44;8,6971;12,2885;12,2223;8,2728
;JOA A B1 M;3,8071;23,1234;15,5618;8,6046;8,5188;12,1452;1;9,3818;11,5772;11,5465;4,0838
;JOA A B1 I;3,8219;24,4696;19,5706;11,5463;11,3969;12,2828;2;9,0734;11,6614;11,6264;2,1869
;JOA A B1 C;3,8126;16,8249;14,2206;8,3979;8,3297;11,7751;3;8,9878;11,322;11,2913;2,6694
;JOA A B1 N;3,8177;16,2675;10,19;7,423;7,3055;11,0699;4;9,1403;10,3225;10,3043;3,0106
